Name,Comp_Class,Type
"1-Cyclohexyl-4-oxo-1,4-dihydro-3-quinolinecarboxylic acid",phenol,
1-Hydroxycyclohexyl Phenyl Ketone,phenol,
"1,2,3,5-Tetramethoxybenzene",phenol,
"1,3-Benzodioxole",phenol,like_safarole
"1,3-DIMETHYL 5-SULFOISOPHTHALATE",phenol,
"1,4-Dihydroxy-2-naphthoic acid",phenol,chorismate
2-(Î²-D-Glucopyranosyloxy)-5-hydroxybenzoic acid,phenol,
2-(2-hydroxyethoxycarbonyl)benzoic acid,phenol,
2-(2-Phenyl-2-butanyl)furan,phenol,
"2-(3,4-Dimethoxyphenyl)-5-methylamino-2-isopropylvaleronitrile",phenol,
2-Acetylbenzofuran,phenol,benzofuran
2-Methoxy-5-nitrophenol,phenol,
2-Methylbenzoic acid,phenol,
"2-phytyl-1,4-dihydroxynaphthalene",phenol,naphthalene
2-Vinylbenzaldehyde,phenol,
"2,2,3,3,4-Pentamethylchromane",phenol,
"2,3-Dihydro-1-benzofuran-2-carboxylic acid",phenol,
"2,3-Xylenol",phenol,
"2,3,4-TRIHYDROXYBENZALDEHYDE OXIME",phenol,
"2,3,4,5-Tetrahydroxybenzaldehyde",phenol,
"2,4-Dimethylbenzaldehyde",phenol,
"2,6-Dichlorotoluene",phenol,
"2,6-Diethylaniline",phenol,
"2,6-Dimethoxybenzoquinone",phenol,benzoquinone
"2,7-Dimethoxynaphthalene",phenol,naphthalene
3-(4-Methoxybenzoyl)propionic acid,phenol,
3-Hydroxybupivicaine,phenol,
3-Vinylbenzaldehyde,phenol,
"3,4-Dihydroxybenzaldehyde",phenol,like_GA
"3,4,5-Trimethoxyphenylacetic acid",phenol,like_GA
"3,5-DI-TERT-BUTYL-4-HYDROXYACETOPHENONE",phenol,like_GA
"4-(3,4-Dibutoxybenzyl)-2-imidazolidinone",phenol,
4-Hydroxyephedrine,phenol,
4-hydroxyphenylpyruvate,phenol,
"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",phenol,like_safarole
4-Methoxybenzaldehyde,phenol,
4-Methyl-o-benzoquinone,phenol,benzoquinone
4-Pentylaniline,phenol,
"4,4',6,6'-Tetra-tert-butyl-2,2'-biphenol",phenol,biphenol
"5,6,7,8-Tetrahydro-2-naphthoic acid",phenol,
6-(3-hydroxybutan-2-yl)-5-(hydroxymethyl)-4-methoxy-2H-pyran-2-one,phenol,degradet from coumarin ot cinnamic
Acetophenone,phenol,
Allyl Benzyl Ether,phenol,
Allylbenzene,phenol,
alpha-methylstyrene,phenol,
APAZIQUONE,phenol,indoles
Aspirin,phenol,
"Benzene, 1-nonenyl-",phenol,
Benzoic acid,phenol,like_GA
Benzyl isocyanide,phenol,
Benzyl vinyl ether,phenol,
bucainide,phenol,
Butylparaben,phenol,like_GA
Butyrophenone,phenol,
BZ2605000,phenol,
Citromycetin,phenol,like_EE_coumarin_flavones
Colchicine,phenol,diphenol
DEHYDROASCORBIC ACID (Shikimic acid - STD),phenol,SA
DEHYDROASCORBIC ACID,phenol,SA
"Dibenzo[f,h][1,2,5]oxadiazolo[3,4-b]quinoxaline",phenol,
dibutylphthalate,phenol,
Didox,phenol,
Diisodecyl phthalate,phenol,
Diphenylamine,phenol,
DL-Atenolol,phenol,
Ethyl Benzylpyruvate,phenol,
Ethylparaben,phenol,
Homovanillic acid,phenol,
Hydroquinone,phenol,benzoquinone
Indoline,phenol,indoles
mephenesin,phenol,
meta-Hydroxynorephedrine,phenol,
methoxybenzene,phenol,
methyl 2-(2-carboxy-4-hydroxy-6-methoxylphenoxy)-6-hydroxy-4-methyl benzoate,phenol,diphenol
Methyl 2-(2-methoxy-2-oxoethyl)benzoate,phenol,
Methyl 2-formylbenzoate,phenol,
Methyl Phenylpropiolate,phenol,
Methyl piperonyl ketone,phenol,like_safarole
"N-(1,5-Dimethyl-3-oxo-2-phenyl-2,3-dihydro-1H-pyrazol-4-yl)-2-quinolinecarboxamide",phenol,
"N-(2,4-Dimethylphenyl)formamide",phenol,
"N-(4H-1,2,4-Triazol-4-yl)-9H-fluoren-9-imine",phenol,diphenol
o-Formyl benzoate,phenol,
